0.232|4.6007|4.6007|6.2892|6.2892|7.9777|7.9777|7.9777|7.9777|51.2660|51.2660|94.5543|94.5543|132.3950|132.3950|170.2356|170.2356|105.9159|105.9159|105.5424|105.5424|90.2622|90.2622|16.9541|16.9541|14.8835|14.8835|14.0881|14.0881|18.5254|18.5254|16.4519|16.4519|13.5027|13.5027|12.1073|12.1073|7.0275|7.0275|4.8589|4.8589|4.3487|4.3487|2.6891|2.6891|2.2465|2.2465|3.0674|3.0674|2.3882|2.3882|1.8695|1.8695|1.4195|1.4195|0.6754|0.6754|0.4151|0.4151|0.1919|0.1919
0.255|38.0823|38.0823|53.0161|53.0161|67.9499|67.9499|67.9499|67.9499|102.9415|102.9415|137.9330|137.9330|158.0422|158.0422|178.1514|178.1514|121.8823|121.8823|53.3107|53.3107|43.7095|43.7095|28.5552|28.5552|18.3851|18.3851|15.8670|15.8670|10.9319|10.9319|8.4276|8.4276|8.0708|8.0708|8.6402|8.6402|6.0670|6.0670|4.7675|4.7675|3.2896|3.2896|2.8419|2.8419|3.2764|3.2764|2.8079|2.8079|2.5056|2.5056|1.6824|1.6824|1.2257|1.2257|0.8150|0.8150|0.5868|0.5868|0.5498|0.5498
0.279|19.5694|19.5694|43.7910|43.7910|68.0127|68.0127|68.0127|68.0127|119.0502|119.0502|170.0877|170.0877|190.0883|190.0883|210.0889|210.0889|118.7040|118.7040|55.3257|55.3257|50.1070|50.1070|27.5459|27.5459|19.9241|19.9241|17.4132|17.4132|15.6331|15.6331|11.0513|11.0513|9.0105|9.0105|6.4577|6.4577|6.2940|6.2940|5.1012|5.1012|3.8536|3.8536|3.1450|3.1450|3.0817|3.0817|2.7624|2.7624|2.3709|2.3709|1.6706|1.6706|1.4008|1.4008|0.8435|0.8435|0.6432|0.6432|0.5854|0.5854
0.302|36.9171|36.9171|52.4852|52.4852|68.0532|68.0532|68.0532|68.0532|58.7704|58.7704|49.4875|49.4875|49.3739|49.3739|49.2603|49.2603|54.0242|54.0242|49.6259|49.6259|23.9638|23.9638|14.8708|14.8708|12.7994|12.7994|11.1697|11.1697|7.3440|7.3440|5.2323|5.2323|4.1877|4.1877|4.4316|4.4316|4.4524|4.4524|3.5455|3.5455|3.4607|3.4607|1.8672|1.8672|2.0996|2.0996|2.6013|2.6013|2.3038|2.3038|1.6303|1.6303|1.2561|1.2561|0.6826|0.6826|0.4349|0.4349|0.3702|0.3702
0.325|44.0425|44.0425|50.4066|50.4066|56.7708|56.7708|56.7708|56.7708|65.1315|65.1315|73.4923|73.4923|129.4374|129.4374|185.3824|185.3824|105.3419|105.3419|16.0591|16.0591|7.6426|7.6426|3.7081|3.7081|4.7246|4.7246|3.1936|3.1936|2.4723|2.4723|2.5384|2.5384|2.7458|2.7458|4.6823|4.6823|1.8345|1.8345|2.8934|2.8934|2.2779|2.2779|1.8570|1.8570|2.5407|2.5407|2.0182|2.0182|2.1948|2.1948|1.1792|1.1792|0.8556|0.8556|0.3970|0.3970|0.2830|0.2830|0.1398|0.1398
0.348|46.6002|46.6002|56.6025|56.6025|66.6048|66.6048|66.6048|66.6048|80.8474|80.8474|95.0901|95.0901|118.5926|118.5926|142.0952|142.0952|99.4661|99.4661|37.6433|37.6433|15.8265|15.8265|4.7678|4.7678|4.2850|4.2850|3.4860|3.4860|3.5303|3.5303|3.1254|3.1254|2.3291|2.3291|2.4681|2.4681|2.0096|2.0096|1.9344|1.9344|1.7865|1.7865|1.3409|1.3409|1.6625|1.6625|2.1043|2.1043|1.4827|1.4827|0.9735|0.9735|0.6965|0.6965|0.2779|0.2779|0.2079|0.2079|0.1302|0.1302
0.372|12.8374|12.8374|26.5690|26.5690|40.3006|40.3006|40.3006|40.3006|56.2199|56.2199|72.1392|72.1392|43.2084|43.2084|14.2776|14.2776|19.9995|19.9995|14.3738|14.3738|4.8461|4.8461|6.6142|6.6142|4.9031|4.9031|2.8865|2.8865|3.7652|3.7652|2.7411|2.7411|2.0802|2.0802|2.5822|2.5822|2.4431|2.4431|1.5111|1.5111|1.5734|1.5734|1.4009|1.4009|1.4808|1.4808|1.5086|1.5086|1.3208|1.3208|0.7431|0.7431|0.6121|0.6121|0.3421|0.3421|0.2504|0.2504|0.1998|0.1998
0.395|5.6909|5.6909|17.7885|17.7885|29.8860|29.8860|29.8860|29.8860|46.6008|46.6008|63.3155|63.3155|42.6710|42.6710|22.0266|22.0266|17.2015|17.2015|12.1681|12.1681|5.3874|5.3874|1.5017|1.5017|2.0880|2.0880|2.0942|2.0942|2.1201|2.1201|0.6522|0.6522|0.8726|0.8726|1.7959|1.7959|2.1550|2.1550|0.9459|0.9459|1.3763|1.3763|1.0277|1.0277|1.5291|1.5291|1.1538|1.1538|1.1448|1.1448|0.8629|0.8629|0.5321|0.5321|0.2215|0.2215|0.1549|0.1549|0.1061|0.1061
0.418|10.8341|10.8341|22.0058|22.0058|33.1774|33.1774|33.1774|33.1774|58.2701|58.2701|83.3628|83.3628|74.6396|74.6396|65.9164|65.9164|40.7200|40.7200|15.7255|15.7255|11.8902|11.8902|7.7269|7.7269|4.5667|4.5667|2.8502|2.8502|3.3038|3.3038|2.7427|2.7427|1.7745|1.7745|1.9757|1.9757|1.8748|1.8748|1.5776|1.5776|1.1886|1.1886|0.9489|0.9489|1.1809|1.1809|1.3873|1.3873|1.1134|1.1134|0.6041|0.6041|0.5128|0.5128|0.2250|0.2250|0.1676|0.1676|0.1239|0.1239
0.441|13.5425|13.5425|39.3665|39.3665|65.1905|65.1905|65.1905|65.1905|55.1299|55.1299|45.0693|45.0693|58.6487|58.6487|72.2280|72.2280|54.2773|54.2773|25.6178|25.6178|28.6183|28.6183|38.5453|38.5453|24.6784|24.6784|15.2566|15.2566|32.0796|32.0796|16.6247|16.6247|23.2789|23.2789|23.6203|23.6203|12.9175|12.9175|12.1383|12.1383|14.3754|14.3754|9.4353|9.4353|10.7091|10.7091|10.8161|10.8161|8.6920|8.6920|6.4127|6.4127|3.6650|3.6650|2.8928|2.8928|2.2729|2.2729|1.8980|1.8980
0.464|32.4434|32.4434|24.1772|24.1772|15.9110|15.9110|15.9110|15.9110|52.2331|52.2331|88.5551|88.5551|77.8641|77.8641|67.1731|67.1731|40.6214|40.6214|10.8151|10.8151|14.7915|14.7915|18.7017|18.7017|10.1228|10.1228|12.5167|12.5167|23.9730|23.9730|15.7399|15.7399|25.3064|25.3064|15.6021|15.6021|13.9710|13.9710|11.7471|11.7471|9.3609|9.3609|8.7821|8.7821|9.5822|9.5822|10.3780|10.3780|7.4166|7.4166|4.5885|4.5885|4.0271|4.0271|2.0587|2.0587|1.6486|1.6486|1.1481|1.1481
0.488|26.3628|26.3628|33.7487|33.7487|41.1346|41.1346|41.1346|41.1346|48.2106|48.2106|55.2865|55.2865|36.6863|36.6863|18.0860|18.0860|15.1516|15.1516|8.7239|8.7239|7.6073|7.6073|4.0131|4.0131|6.9358|6.9358|9.5547|9.5547|17.0830|17.0830|5.6109|5.6109|17.9964|17.9964|17.1377|17.1377|9.4231|9.4231|9.7012|9.7012|9.4670|9.4670|10.0698|10.0698|10.0459|10.0459|13.7780|13.7780|7.5818|7.5818|5.8997|5.8997|3.1481|3.1481|1.9877|1.9877|1.2627|1.2627|0.7531|0.7531
0.511|2.7823|2.7823|6.0794|6.0794|9.3764|9.3764|9.3764|9.3764|22.4392|22.4392|35.5019|35.5019|27.0047|27.0047|18.5074|18.5074|14.9957|14.9957|12.6136|12.6136|11.2077|11.2077|4.7857|4.7857|3.2417|3.2417|3.8496|3.8496|6.9157|6.9157|5.0125|5.0125|17.8932|17.8932|14.4289|14.4289|8.3251|8.3251|7.6803|7.6803|8.0263|8.0263|7.5956|7.5956|12.1971|12.1971|13.2323|13.2323|9.3154|9.3154|6.8513|6.8513|3.8002|3.8002|1.9769|1.9769|1.3505|1.3505|0.8867|0.8867
0.534|5.8304|5.8304|12.2357|12.2357|18.6409|18.6409|18.6409|18.6409|13.0624|13.0624|7.4838|7.4838|11.9943|11.9943|16.5049|16.5049|11.5904|11.5904|8.0378|8.0378|6.9290|6.9290|2.2686|2.2686|4.0942|4.0942|3.1992|3.1992|4.0873|4.0873|4.2259|4.2259|10.5672|10.5672|7.9018|7.9018|6.7913|6.7913|4.6925|4.6925|6.0756|6.0756|6.2956|6.2956|10.3870|10.3870|10.6005|10.6005|7.5377|7.5377|4.8556|4.8556|2.9251|2.9251|1.2414|1.2414|0.9537|0.9537|0.7628|0.7628
