0.235|37.4366|37.4366|37.4366|37.4366|34.7405|34.7405|32.0444|32.0444|32.0444|32.0444|32.0444|32.0444|32.0444|32.0444|32.8413|32.8413|33.6382|33.6382|42.1118|42.1118|50.5854|50.5854|43.7408|43.7408|55.0330|55.0330|97.3416|97.3416|67.6455|67.6455|71.0761|71.0761|37.9303|37.9303|23.5754|23.5754|11.6379|11.6379|6.9661|6.9661|4.8775|4.8775|3.8401|3.8401|3.0139|3.0139|2.5711|2.5711|5.1815|5.1815|2.5401|2.5401|1.2776|1.2776|1.8524|1.8524|0.8249|0.8249|0.6430|0.6430|0.5619|0.5619|0.4559|0.4559|0.4273|0.4273
0.256|2.5225|2.5225|2.5225|2.5225|10.7789|10.7789|19.0354|19.0354|19.0354|19.0354|19.0354|19.0354|19.0354|19.0354|25.2127|25.2127|31.3901|31.3901|26.3164|26.3164|21.2427|21.2427|23.1137|23.1137|48.3954|48.3954|89.3829|89.3829|90.8904|90.8904|86.9804|86.9804|43.0686|43.0686|23.1708|23.1708|13.8957|13.8957|9.2983|9.2983|7.3430|7.3430|6.0277|6.0277|5.8017|5.8017|6.6678|6.6678|8.3691|8.3691|3.4941|3.4941|0.5189|0.5189|2.7057|2.7057|1.2538|1.2538|0.5724|0.5724|0.6155|0.6155|0.2180|0.2180|0.1725|0.1725
0.277|6.1184|6.1184|6.1184|6.1184|31.7882|31.7882|57.4580|57.4580|57.4580|57.4580|57.4580|57.4580|57.4580|57.4580|65.9043|65.9043|74.3506|74.3506|54.9259|54.9259|35.5012|35.5012|37.7005|37.7005|71.7436|71.7436|105.5711|105.5711|80.3240|80.3240|73.5450|73.5450|50.5685|50.5685|28.7807|28.7807|19.3052|19.3052|12.0619|12.0619|7.2029|7.2029|6.1405|6.1405|6.4791|6.4791|6.0466|6.0466|6.3305|6.3305|3.8539|3.8539|1.0574|1.0574|2.2064|2.2064|1.2732|1.2732|0.6235|0.6235|0.5632|0.5632|0.2135|0.2135|0.1449|0.1449
0.299|8.3572|8.3572|8.3572|8.3572|16.4415|16.4415|24.5258|24.5258|24.5258|24.5258|24.5258|24.5258|24.5258|24.5258|21.9575|21.9575|19.3892|19.3892|23.1798|23.1798|26.9705|26.9705|35.2754|35.2754|39.7691|39.7691|75.8445|75.8445|53.1472|53.1472|66.6912|66.6912|37.6217|37.6217|22.9606|22.9606|13.3697|13.3697|8.6881|8.6881|7.2143|7.2143|5.4986|5.4986|5.2643|5.2643|6.2027|6.2027|8.3562|8.3562|3.4101|3.4101|0.8721|0.8721|2.6004|2.6004|1.1878|1.1878|0.5529|0.5529|0.6288|0.6288|0.3290|0.3290|0.3034|0.3034
0.320|19.7101|19.7101|19.7101|19.7101|32.3756|32.3756|45.0411|45.0411|45.0411|45.0411|45.0411|45.0411|45.0411|45.0411|48.6559|48.6559|52.2706|52.2706|39.5055|39.5055|26.7404|26.7404|44.7381|44.7381|86.6690|86.6690|95.8185|95.8185|56.6426|56.6426|75.6612|75.6612|69.7986|69.7986|37.1632|37.1632|18.7996|18.7996|15.3438|15.3438|9.3964|9.3964|8.4626|8.4626|7.2750|7.2750|7.5992|7.5992|7.1390|7.1390|4.6131|4.6131|1.7881|1.7881|2.5992|2.5992|1.6259|1.6259|1.0084|1.0084|0.8649|0.8649|0.6295|0.6295|0.5741|0.5741
0.341|28.8529|28.8529|28.8529|28.8529|23.9418|23.9418|19.0307|19.0307|19.0307|19.0307|19.0307|19.0307|19.0307|19.0307|22.1065|22.1065|25.1823|25.1823|32.4752|32.4752|39.7680|39.7680|31.5813|31.5813|43.9369|43.9369|84.3775|84.3775|66.8128|66.8128|72.5481|72.5481|39.3499|39.3499|23.9813|23.9813|13.0243|13.0243|8.4543|8.4543|6.3244|6.3244|4.7414|4.7414|4.4102|4.4102|5.1397|5.1397|8.0990|8.0990|3.3295|3.3295|1.1273|1.1273|2.4140|2.4140|1.0608|1.0608|0.6338|0.6338|0.6349|0.6349|0.4301|0.4301|0.4053|0.4053
0.363|20.0679|20.0679|20.0679|20.0679|13.0050|13.0050|5.9420|5.9420|5.9420|5.9420|5.9420|5.9420|5.9420|5.9420|13.9259|13.9259|21.9098|21.9098|25.0072|25.0072|28.1046|28.1046|19.8133|19.8133|35.3795|35.3795|76.9664|76.9664|78.3235|78.3235|81.0273|81.0273|42.1183|42.1183|24.5496|24.5496|15.6804|15.6804|10.2537|10.2537|8.0943|8.0943|6.8741|6.8741|6.2949|6.2949|7.1416|7.1416|6.8990|6.8990|3.6513|3.6513|0.7769|0.7769|2.2107|2.2107|1.3272|1.3272|0.5772|0.5772|0.5560|0.5560|0.1801|0.1801|0.1483|0.1483
0.384|21.8522|21.8522|21.8522|21.8522|40.3932|40.3932|58.9342|58.9342|58.9342|58.9342|58.9342|58.9342|58.9342|58.9342|66.1688|66.1688|73.4034|73.4034|54.6869|54.6869|35.9705|35.9705|39.1540|39.1540|72.4189|72.4189|96.1360|96.1360|66.5560|66.5560|69.9256|69.9256|44.3277|44.3277|24.8437|24.8437|14.5997|14.5997|6.3800|6.3800|4.9678|4.9678|4.9845|4.9845|3.8316|3.8316|4.8359|4.8359|7.9622|7.9622|3.6126|3.6126|0.8562|0.8562|2.1678|2.1678|0.9042|0.9042|0.4691|0.4691|0.4210|0.4210|0.1711|0.1711|0.1646|0.1646
0.405|7.5099|7.5099|7.5099|7.5099|5.9171|5.9171|4.3244|4.3244|4.3244|4.3244|4.3244|4.3244|4.3244|4.3244|10.1238|10.1238|15.9232|15.9232|13.0630|13.0630|10.2028|10.2028|23.0607|23.0607|29.0946|29.0946|60.8346|60.8346|45.2162|45.2162|61.9111|61.9111|35.3024|35.3024|24.3069|24.3069|16.2909|16.2909|10.6666|10.6666|8.1484|8.1484|6.7099|6.7099|6.3125|6.3125|7.3258|7.3258|7.5778|7.5778|3.7394|3.7394|0.9043|0.9043|2.2747|2.2747|1.3380|1.3380|0.6476|0.6476|0.5729|0.5729|0.3208|0.3208|0.2980|0.2980
0.427|6.7040|6.7040|6.7040|6.7040|28.8626|28.8626|51.0212|51.0212|51.0212|51.0212|51.0212|51.0212|51.0212|51.0212|57.4412|57.4412|63.8611|63.8611|44.9951|44.9951|26.1290|26.1290|36.9085|36.9085|76.2352|76.2352|91.5466|91.5466|53.6814|53.6814|67.2864|67.2864|50.7250|50.7250|31.5227|31.5227|16.0563|16.0563|8.7597|8.7597|6.6119|6.6119|5.5399|5.5399|5.1397|5.1397|5.6444|5.6444|7.3255|7.3255|3.9398|3.9398|1.5742|1.5742|2.0820|2.0820|1.1390|1.1390|0.8584|0.8584|0.6724|0.6724|0.5354|0.5354|0.5020|0.5020
0.448|13.8094|13.8094|13.8094|13.8094|8.7286|8.7286|3.6478|3.6478|3.6478|3.6478|3.6478|3.6478|3.6478|3.6478|10.9287|10.9287|18.2095|18.2095|21.2095|21.2095|24.2096|24.2096|17.1448|17.1448|32.9820|32.9820|70.7599|70.7599|61.6009|61.6009|70.4908|70.4908|40.8526|40.8526|24.3136|24.3136|15.0160|15.0160|9.5790|9.5790|7.6598|7.6598|6.2904|6.2904|5.8831|5.8831|6.9939|6.9939|8.1618|8.1618|3.7945|3.7945|0.9875|0.9875|2.2241|2.2241|1.2907|1.2907|0.6857|0.6857|0.5601|0.5601|0.3569|0.3569|0.3300|0.3300
0.469|32.3655|32.3655|32.3655|32.3655|24.7573|24.7573|17.1491|17.1491|17.1491|17.1491|17.1491|17.1491|17.1491|17.1491|21.6468|21.6468|26.1445|26.1445|32.2307|32.2307|38.3169|38.3169|28.8187|28.8187|38.1664|38.1664|73.6049|73.6049|70.4185|70.4185|69.5015|69.5015|34.7930|34.7930|20.6863|20.6863|12.8919|12.8919|8.0415|8.0415|6.1686|6.1686|5.1188|5.1188|4.5805|4.5805|5.2680|5.2680|3.6824|3.6824|3.0934|3.0934|0.8156|0.8156|1.1573|1.1573|0.9544|0.9544|0.4416|0.4416|0.3016|0.3016|0.1192|0.1192|0.1050|0.1050
0.491|32.7949|32.7949|32.7949|32.7949|40.6720|40.6720|48.5492|48.5492|48.5492|48.5492|48.5492|48.5492|48.5492|48.5492|51.3483|51.3483|54.1473|54.1473|42.1373|42.1373|30.1273|30.1273|37.8521|37.8521|66.4508|66.4508|80.3890|80.3890|57.8532|57.8532|66.2949|66.2949|45.1213|45.1213|25.8131|25.8131|14.1384|14.1384|7.6490|7.6490|6.3507|6.3507|5.8797|5.8797|5.3682|5.3682|6.2045|6.2045|9.5220|9.5220|4.2324|4.2324|0.8558|0.8558|2.2347|2.2347|1.1745|1.1745|0.6673|0.6673|0.4454|0.4454|0.2423|0.2423|0.2123|0.2123
0.512|20.2119|20.2119|20.2119|20.2119|17.3860|17.3860|14.5600|14.5600|14.5600|14.5600|14.5600|14.5600|14.5600|14.5600|19.3046|19.3046|24.0492|24.0492|20.6549|20.6549|17.2607|17.2607|27.6840|27.6840|31.9014|31.9014|58.2397|58.2397|40.8360|40.8360|51.8367|51.8367|28.8037|28.8037|20.3838|20.3838|13.7308|13.7308|8.6473|8.6473|6.9924|6.9924|5.8910|5.8910|5.2726|5.2726|5.9886|5.9886|4.3918|4.3918|3.4392|3.4392|1.0599|1.0599|1.3979|1.3979|1.0723|1.0723|0.5757|0.5757|0.4007|0.4007|0.2890|0.2890|0.2746|0.2746
0.533|5.2640|5.2640|5.2640|5.2640|23.8122|23.8122|42.3603|42.3603|42.3603|42.3603|42.3603|42.3603|42.3603|42.3603|48.2219|48.2219|54.0835|54.0835|39.0654|39.0654|24.0473|24.0473|29.6796|29.6796|60.1320|60.1320|81.6062|81.6062|54.5074|54.5074|57.5391|57.5391|41.5332|41.5332|28.6895|28.6895|18.3131|18.3131|5.5400|5.5400|8.4701|8.4701|5.3278|5.3278|6.1504|6.1504|5.7501|5.7501|9.5235|9.5235|4.2595|4.2595|1.1285|1.1285|2.0685|2.0685|1.1225|1.1225|0.8141|0.8141|0.5480|0.5480|0.4348|0.4348|0.3935|0.3935
0.555|0.9502|0.9502|0.9502|0.9502|8.8203|8.8203|16.6905|16.6905|16.6905|16.6905|16.6905|16.6905|16.6905|16.6905|20.7147|20.7147|24.7390|24.7390|19.6876|19.6876|14.6363|14.6363|17.1913|17.1913|37.5707|37.5707|64.8127|64.8127|58.3232|58.3232|61.5856|61.5856|35.8562|35.8562|20.0875|20.0875|13.9074|13.9074|9.1837|9.1837|7.2977|7.2977|6.0865|6.0865|5.6406|5.6406|6.4809|6.4809|5.4751|5.4751|3.5272|3.5272|0.8970|0.8970|1.4918|1.4918|1.1264|1.1264|0.5888|0.5888|0.3710|0.3710|0.2591|0.2591|0.2463|0.2463
0.576|35.4389|35.4389|35.4389|35.4389|29.0465|29.0465|22.6541|22.6541|22.6541|22.6541|22.6541|22.6541|22.6541|22.6541|25.9152|25.9152|29.1763|29.1763|34.9823|34.9823|40.7883|40.7883|32.9343|32.9343|40.3271|40.3271|70.8646|70.8646|61.7360|61.7360|56.1248|56.1248|26.2539|26.2539|14.7498|14.7498|8.2557|8.2557|4.6931|4.6931|3.0982|3.0982|2.0865|2.0865|1.7570|1.7570|2.2496|2.2496|4.4971|4.4971|2.5408|2.5408|0.6327|0.6327|0.5389|0.5389|0.3992|0.3992|0.2622|0.2622|0.1516|0.1516|0.1303|0.1303|0.1185|0.1185
0.597|34.9884|34.9884|34.9884|34.9884|34.4693|34.4693|33.9502|33.9502|33.9502|33.9502|33.9502|33.9502|33.9502|33.9502|30.2742|30.2742|26.5983|26.5983|23.7101|23.7101|20.8219|20.8219|33.5899|33.5899|58.6205|58.6205|66.4527|66.4527|50.4574|50.4574|57.1609|57.1609|49.9130|49.9130|28.3770|28.3770|16.2787|16.2787|10.5355|10.5355|7.8573|7.8573|6.3075|6.3075|5.9112|5.9112|7.0195|7.0195|9.5947|9.5947|4.5209|4.5209|0.9645|0.9645|1.9265|1.9265|1.3663|1.3663|0.7777|0.7777|0.4061|0.4061|0.2846|0.2846|0.2669|0.2669
0.619|25.2947|25.2947|25.2947|25.2947|24.5027|24.5027|23.7107|23.7107|23.7107|23.7107|23.7107|23.7107|23.7107|23.7107|26.0305|26.0305|28.3504|28.3504|26.9954|26.9954|25.6405|25.6405|32.9276|32.9276|36.1243|36.1243|58.8952|58.8952|35.1297|35.1297|39.5395|39.5395|22.1568|22.1568|14.8896|14.8896|9.9989|9.9989|5.8996|5.8996|4.1230|4.1230|3.2763|3.2763|2.5284|2.5284|2.9728|2.9728|3.7288|3.7288|2.7094|2.7094|0.8619|0.8619|0.6531|0.6531|0.5761|0.5761|0.4049|0.4049|0.3187|0.3187|0.2669|0.2669|0.2510|0.2510
0.640|10.6715|10.6715|10.6715|10.6715|18.4718|18.4718|26.2720|26.2720|26.2720|26.2720|26.2720|26.2720|26.2720|26.2720|29.6734|29.6734|33.0749|33.0749|25.8259|25.8259|18.5769|18.5769|22.6132|22.6132|42.2693|42.2693|65.6482|65.6482|56.4029|56.4029|52.8934|52.8934|32.8229|32.8229|22.1005|22.1005|18.1431|18.1431|12.7635|12.7635|5.6318|5.6318|6.0281|6.0281|6.0144|6.0144|6.6504|6.6504|9.6735|9.6735|4.8533|4.8533|1.1381|1.1381|1.8381|1.8381|1.3824|1.3824|0.8523|0.8523|0.4797|0.4797|0.4029|0.4029|0.3697|0.3697
0.661|10.6469|10.6469|10.6469|10.6469|18.7294|18.7294|26.8119|26.8119|26.8119|26.8119|26.8119|26.8119|26.8119|26.8119|29.8194|29.8194|32.8269|32.8269|24.7503|24.7503|16.6738|16.6738|23.0803|23.0803|43.9853|43.9853|63.8188|63.8188|58.4088|58.4088|50.2965|50.2965|26.5162|26.5162|13.1870|13.1870|9.1976|9.1976|6.6351|6.6351|4.7535|4.7535|3.6684|3.6684|3.1937|3.1937|3.5463|3.5463|3.0696|3.0696|2.8211|2.8211|0.9350|0.9350|0.7099|0.7099|0.6364|0.6364|0.4010|0.4010|0.2996|0.2996|0.2477|0.2477|0.2358|0.2358
